City,Country,Climate-related hazards (ORIGINAL),Climate-related hazards,Current probability of hazard,Current magnitude of impact of hazard,Expected future change in hazard intensity,Expected future change in hazard frequency,Population,City Location
Barcelona,Spain,Biodiversity loss,Biodiversity loss,Medium High,Medium,Increasing,Increasing,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Coastal flooding,Coastal flooding,Medium Low,Medium,Increasing,No Data,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Drought,Drought,Medium High,High,Increasing,No Data,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Fire weather (risk of wildfires),Fire weather (risk of wildfires),Medium High,Medium High,Increasing,No Data,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Infectious disease,Infectious disease,Medium High,Medium High,Increasing,No Data,1636732,"41.3823, 2.1775 "
Barcelona,Spain,River flooding,River flooding,Low,Medium High,Increasing,No Data,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Storm,Storm,High,Medium High,Increasing,No Data,1636732,"41.3823, 2.1775 "
Berlin,Germany,Drought,Drought,High,Medium,Increasing,No Data,3677472,"52.52, 13.405 "
Berlin,Germany,Extreme heat,Extreme heat,High,High,Increasing,No Data,3677472,"52.52, 13.405 "
Berlin,Germany,Heavy precipitation,Heavy precipitation,High,High,Increasing,No Data,3677472,"52.52, 13.405 "
Bogota,Colombia,Extreme heat,Extreme heat,Medium,Low,Increasing,Decreasing,7181469,"4.711, -74.0721 "
Bogota,Colombia,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,Medium High,Increasing,Decreasing,7181469,"4.711, -74.0721 "
Bogota,Colombia,Mass movement,Mass movement,High,High,Increasing,Decreasing,7181469,"4.711, -74.0721 "
Bogota,Colombia,Urban flooding,Urban flooding,High,Medium,Increasing,Decreasing,7181469,"4.711, -74.0721 "
Boston,United States of America,Coastal flooding,Coastal flooding,Medium High,High,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Extreme heat,Extreme heat,Medium,Medium High,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Heavy precipitation,Heavy precipitation,Medium High,Medium,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,River flooding,River flooding,Medium Low,Not expected to impact the jurisdiction within the next 5 years,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Snow and ice,Snow and ice,Medium,Medium,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Storm,Storm,Medium,High,Increasing,Increasing,675647,"42.3584, -71.0598 "
Buenos Aires,Argentina,Coastal flooding,Coastal flooding,Medium High,Medium,Increasing,Increasing,3078836,"-34.6037, -58.3816 "
Buenos Aires,Argentina,Extreme cold,Extreme cold,Medium,Medium,Do not know,Decreasing,3078836,"-34.6037, -58.3816 "
Buenos Aires,Argentina,Extreme heat,Extreme heat,High,High,Increasing,Increasing,3078836,"-34.6037, -58.3816 "
Buenos Aires,Argentina,Extreme wind,Extreme wind,Medium,Medium High,Increasing,Increasing,3078836,"-34.6037, -58.3816 "
Buenos Aires,Argentina,Heat stress,Heat stress,Medium,Medium,Increasing,Increasing,3078836,"-34.6037, -58.3816 "
Buenos Aires,Argentina,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,3078836,"-34.6037, -58.3816 "
Buenos Aires,Argentina,Infectious disease,Infectious disease,Medium High,Medium High,Increasing,Increasing,3078836,"-34.6037, -58.3816 "
Buenos Aires,Argentina,River flooding,River flooding,High,High,Increasing,Increasing,3078836,"-34.6037, -58.3816 "
Cape Town,South Africa,Coastal flooding,Coastal flooding,Medium High,Medium,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Cape Town,South Africa,Drought,Drought,High,High,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Cape Town,South Africa,Extreme heat,Extreme heat,High,High,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Cape Town,South Africa,Extreme wind,Extreme wind,High,Medium High,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Cape Town,South Africa,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,Medium,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Cape Town,South Africa,River flooding,River flooding,Medium,Medium,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Cape Town,South Africa,Storm,Storm,Medium,Medium,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Cape Town,South Africa,Urban flooding,Urban flooding,Medium,Medium,Increasing,Increasing,4678900,"-33.9253, 18.4239 "
Chennai,India,Heavy precipitation,Heavy precipitation,Medium Low,Medium Low,Do not know,Do not know,6672000,"13.0992, 80.2425 "
Chicago,United States of America,Extreme heat,Extreme heat,Medium High,Medium Low,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,Extreme wind,Extreme wind,Low,Medium Low,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,River flooding,River flooding,Low,Medium,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,Snow and ice,Snow and ice,Medium High,Medium,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Copenhagen,Denmark,Coastal flooding,Coastal flooding,Medium,Medium,Increasing,Increasing,644425,"55.6761, 12.5683 "
Copenhagen,Denmark,Extreme heat,Extreme heat,Medium Low,Medium Low,Increasing,Increasing,644425,"55.6761, 12.5683 "
Copenhagen,Denmark,Heavy precipitation,Heavy precipitation,High,High,Increasing,Increasing,644425,"55.6761, 12.5683 "
Copenhagen,Denmark,Storm,Storm,Medium,Medium,Increasing,Increasing,644425,"55.6761, 12.5683 "
Curitiba,Brazil,Drought,Drought,Do not know,Do not know,Do not know,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Extreme heat,Extreme heat,Medium,Medium,Increasing,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Extreme wind,Extreme wind,Do not know,Do not know,Do not know,Do not know,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Heavy precipitation,Heavy precipitation,High,High,Increasing,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Mass movement,Mass movement,Medium Low,Low,Do not know,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Urban flooding,Urban flooding,High,High,Increasing,Increasing,1967291,"-25.4311, -49.2647 "
Dakar,Senegal,Coastal flooding,Coastal flooding,High,Medium High,Increasing,Increasing,1438725,"14.7645, -17.366 "
Dakar,Senegal,Drought,Drought,Medium Low,Low,Decreasing,Do not know,1438725,"14.7645, -17.366 "
Dakar,Senegal,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,1438725,"14.7645, -17.366 "
Dakar,Senegal,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,1438725,"14.7645, -17.366 "
Dalian,China,Other coastal events,Other coastal events,Not expected to impact the jurisdiction within the next 5 years,Low,Decreasing,Decreasing,7454000,"38.9389, 121.567 "
Dar es Salaam,United Republic of Tanzania,Drought,Drought,Medium Low,Medium High,Increasing,Increasing,6400000,"-6.79235, 39.2083 "
Dar es Salaam,United Republic of Tanzania,Extreme heat,Extreme heat,Medium High,Medium,Increasing,Increasing,6400000,"-6.79235, 39.2083 "
Dar es Salaam,United Republic of Tanzania,Urban flooding,Urban flooding,High,High,Increasing,Increasing,6400000,"-6.79235, 39.2083 "
Delhi,India,Extreme heat,Extreme heat,High,High,Increasing,Increasing,20600000,"28.704, 77.1025 "
Delhi,India,Infectious disease,Infectious disease,High,Medium,Increasing,Increasing,20600000,"28.704, 77.1025 "
Delhi,India,Water stress,Water stress,Medium High,High,Increasing,Increasing,20600000,"28.704, 77.1025 "
Dhaka,Bangladesh,Extreme heat,Extreme heat,High,High,Increasing,No Data,12000000,"23.8103, 90.4125 "
Dhaka,Bangladesh,Heat stress,Heat stress,Medium High,Medium High,Increasing,Increasing,12000000,"23.8103, 90.4125 "
Dubai,United Arab Emirates,Coastal flooding,Coastal flooding,Low,High,Increasing,Do not know,3478300,"25.2048, 55.2708 "
Dubai,United Arab Emirates,Heavy precipitation,Heavy precipitation,Do not know,Do not know,Do not know,Do not know,3478300,"25.2048, 55.2708 "
Durban,South Africa,Drought,Drought,Medium High,Medium High,Increasing,No Data,4033734,"-29.8587, 31.0218 "
Durban,South Africa,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,No Data,4033734,"-29.8587, 31.0218 "
Durban,South Africa,Storm,Storm,Medium,Medium,None,No Data,4033734,"-29.8587, 31.0218 "
Ekurhuleni,South Africa,Extreme heat,Extreme heat,Medium,Medium Low,Increasing,Increasing,3774638,"-26.1777, 28.3462 "
Ekurhuleni,South Africa,Urban flooding,Urban flooding,High,High,Increasing,Increasing,3774638,"-26.1777, 28.3462 "
Freetown,Sierra Leone,Coastal flooding,Coastal flooding,High,High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Extreme heat,Extreme heat,Medium High,High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Heavy precipitation,Heavy precipitation,High,Medium High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Mass movement,Mass movement,High,High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Urban flooding,Urban flooding,High,Medium High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Guadalajara,Mexico,Fire weather (risk of wildfires),Fire weather (risk of wildfires),Medium High,Medium,Increasing,Increasing,5243392,"20.6597, -103.35 "
Guadalajara,Mexico,Heavy precipitation,Heavy precipitation,Medium,Medium,Increasing,Increasing,5243392,"20.6597, -103.35 "
Guadalajara,Mexico,Infectious disease,Infectious disease,Medium Low,Medium Low,Increasing,Decreasing,5243392,"20.6597, -103.35 "
Guadalajara,Mexico,Mass movement,Mass movement,Medium Low,Medium Low,None,Decreasing,5243392,"20.6597, -103.35 "
Guadalajara,Mexico,Urban flooding,Urban flooding,High,Medium High,Increasing,Increasing,5243392,"20.6597, -103.35 "
Hanoi,Viet Nam,Drought,Drought,Do not know,High,Do not know,Do not know,8053663,"21.0258, 105.815 "
Hanoi,Viet Nam,Extreme heat,Extreme heat,Do not know,High,Do not know,Do not know,8053663,"21.0258, 105.815 "
Hanoi,Viet Nam,Storm,Storm,Do not know,High,Do not know,Do not know,8053663,"21.0258, 105.815 "
Heidelberg,Germany,Heat stress,Heat stress,Medium High,Medium High,Increasing,Increasing,146034,"49.3988, 8.67243 "
Heidelberg,Germany,Heavy precipitation,Heavy precipitation,Medium,Medium Low,Increasing,Increasing,146034,"49.3988, 8.67243 "
Heidelberg,Germany,River flooding,River flooding,Medium High,Medium,Increasing,Increasing,146034,"49.3988, 8.67243 "
Ho Chi Minh,Viet Nam,Coastal flooding,Coastal flooding,Medium Low,Medium Low,Increasing,Increasing,9227598,"10.7626, 106.66 "
Ho Chi Minh,Viet Nam,Heat stress,Heat stress,Medium,Medium High,Increasing,Decreasing,9227598,"10.7626, 106.66 "
Ho Chi Minh,Viet Nam,Heavy precipitation,Heavy precipitation,Medium,Medium,Increasing,Increasing,9227598,"10.7626, 106.66 "
Ho Chi Minh,Viet Nam,Mass movement,Mass movement,Medium Low,Medium Low,Increasing,Increasing,9227598,"10.7626, 106.66 "
Ho Chi Minh,Viet Nam,Storm,Storm,Low,Low,Increasing,Increasing,9227598,"10.7626, 106.66 "
Ho Chi Minh,Viet Nam,Water stress,Water stress,High,High,Increasing,Increasing,9227598,"10.7626, 106.66 "
Hong Kong,"China, Hong Kong Special Administrative Region",Coastal flooding,Coastal flooding,Medium,Medium,Increasing,Increasing,7413100,"22.2881, 114.14 "
Hong Kong,"China, Hong Kong Special Administrative Region",Extreme heat,Extreme heat,High,Medium,Increasing,Increasing,7413100,"22.2881, 114.14 "
Hong Kong,"China, Hong Kong Special Administrative Region",Extreme wind,Extreme wind,Medium,Medium,Increasing,Increasing,7413100,"22.2881, 114.14 "
Hong Kong,"China, Hong Kong Special Administrative Region",Hurricanes/cyclones/typhoons,Hurricanes/cyclones/typhoons,High,Medium High,Increasing,Increasing,7413100,"22.2881, 114.14 "
Hong Kong,"China, Hong Kong Special Administrative Region",Storm,Storm,High,Medium,Increasing,Increasing,7413100,"22.2881, 114.14 "
Houston,United States of America,Air pollution,Air pollution,High,Medium,Do not know,Do not know,2304580,"29.7602, -95.3694 "
Houston,United States of America,Drought,Drought,High,Medium,Increasing,Increasing,2304580,"29.7602, -95.3694 "
Houston,United States of America,Extreme heat,Extreme heat,High,Medium,Increasing,Increasing,2304580,"29.7602, -95.3694 "
